"id","department","long_title","short_title","type","region","gstin","mid","url","sort_id","parent_id","office_id","is_active","created_at","updated_at"
"1","Head Office","Head Office","HO","HO","HO","07AAAAF0408Q1ZQ",NULL,NULL,1,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"2","DG Cell","DG Cell",NULL,"DO","HO","07AAAAF0408Q1ZQ",NULL,NULL,2,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"3","ADG Cell","Addl. DG Cell",NULL,"DO","HO","07AAAAF0408Q1ZQ",NULL,NULL,3,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"4","Personnel Dept.",NULL,NULL,"DO","HO","07AAAAF0408Q1ZQ",NULL,NULL,4,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"5","Finance Dept.","Finance Department",NULL,"DO","HO","07AAAAF0408Q1ZQ",NULL,NULL,5,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"6","Admin & Estate Dept.",NULL,NULL,"DO","HO","07AAAAF0408Q1ZQ",NULL,NULL,6,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"7","IT & Quality Dept.",NULL,NULL,"DO","HO","07AAAAF0408Q1ZQ",NULL,NULL,7,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"8","MRD Dept.","Market Research and Development Department",NULL,"DO","HO","07AAAAF0408Q1ZQ",NULL,NULL,8,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"9","Study Cell",NULL,NULL,"DO","HO","07AAAAF0408Q1ZQ",NULL,NULL,9,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"10","EXIM Policy Dept.","EXIM Policy Department","Policy Dept","DO","HO","07AAAAF0408Q1ZQ",NULL,NULL,10,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"11","MC & PR Dept.","Media, Communications & Personal Relations Department",NULL,"DO","HO","07AAAAF0408Q1ZQ",NULL,NULL,11,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"12","Trade Portal Div.","Trade Portal Division",NULL,"DO","HO","07AAAAF0408Q1ZQ",NULL,NULL,12,"1","1",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"13","Northern Region","Northern Region - New Delhi","NR","RO","NR","07AAAAF0408Q1ZQ",NULL,NULL,13,"1","2",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"14","Eastern Region","Eastern Region - Kolkata","ER","RO","ER","19AAAAF0408Q1ZL",NULL,NULL,14,"1","3",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"15","Western Region","Western Region - Mumbai","WR","RO","WR","27AAAAF0408Q1ZO",NULL,NULL,15,"1","4",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"16","Southern Region","Southern Region - Chennai","SR","RO","SR","33AAAAF0408Q1ZV",NULL,NULL,16,"1","5",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"17","Ludhiana Chapter","Ludhiana Chapter",NULL,"CO","NR","07AAAAF0408Q1ZQ",NULL,NULL,17,"13","6",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"18","Amritsar Chapter","Amritsar Chapter",NULL,"CO","NR","07AAAAF0408Q1ZQ",NULL,NULL,18,"13","6",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"19","Rajasthan Chapter","Rajasthan Chapter",NULL,"CO","NR","07AAAAF0408Q1ZQ",NULL,NULL,19,"13","7",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"20","UP Chapter","Uttar Pradesh Chapter",NULL,"CO","NR","07AAAAF0408Q1ZQ",NULL,NULL,20,"13","8",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"21","Odisha Chapter","Odisha Chapter",NULL,"CO","ER","19AAAAF0408Q1ZL",NULL,NULL,21,"14","9",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"22","North East Chapter","North East Chapter",NULL,"CO","ER","19AAAAF0408Q1ZL",NULL,NULL,22,"14","10",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"23","Gujarat Chapter","Gujarat Chapter",NULL,"CO","WR","27AAAAF0408Q1ZO",NULL,NULL,23,"15","11",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"24","MP Chapter","Madhya Pradesh Chapter",NULL,"CO","WR","27AAAAF0408Q1ZO",NULL,NULL,24,"15","12",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"25","Telangana Chapter","Telangana Chapter",NULL,"CO","SR","33AAAAF0408Q1ZV",NULL,NULL,25,"16","14",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"26","AP Chapter","Andhra Pradesh Chapter",NULL,"CO","SR","33AAAAF0408Q1ZV",NULL,NULL,26,"16","17",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"27","Karnataka Chapter","Karnataka Chapter",NULL,"CO","SR","33AAAAF0408Q1ZV",NULL,NULL,27,"16","13",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"28","Kerala Chapter","Kerala Chapter",NULL,"CO","SR","33AAAAF0408Q1ZV",NULL,NULL,28,"16","15",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
"29","Coimbatore Chapter","Coimbatore Chapter",NULL,"CO","SR","33AAAAF0408Q1ZV",NULL,NULL,29,"16","16",True,"2025-12-11 18:55:29+05:30","2025-12-11 18:55:29+05:30"
