"id","sort_id","designation","long_title","short_title","seniority","is_officer","is_active","created_at","updated_at"
"1",1,"Director General & CEO","Director General & CEO","DG & CEO",1,True,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"2",2,"Addl. Director General","Additional Director General","Addl DG",2,True,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"3",3,"Jt. Director General","Joint Director General","Jt DG",3,True,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"4",4,"DDG","Deputy Director General","DDG",4,True,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"5",5,"Jt. DDG","Joint Deputy Director General","Jt DDG",5,True,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"6",6,"Advisor","Advisor","Advisor",6,True,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"7",7,"Director","Director","Director",7,True,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"8",8,"Jt. Director","Joint Director","JD",8,True,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"9",9,"Dy. Director","Deputy Director","DD",9,True,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"10",10,"Asst. Director","Assistant Director","AD",10,True,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"11",11,"Coordinator","Coordinator","Coordinator",11,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"12",12,"Mgmt. Executive","Management Executive","ME",12,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"13",13,"Mgmt. Trainee","Management Trainee","MT",13,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"14",14,"Exect. Asst.","Executive Assistant","Exect. Asst.",14,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"15",15,"Receptionist","Receptionist","Receptionist",15,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"16",16,"Vehicle Supervisor","Vehicle Supervisor","Vehicle Supervisor",16,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"17",17,"Sr. Driver cum Mechanic","Senior Driver cum Mechanic","Sr. Driver cum Mechanic",17,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"18",18,"Jr. Exect. Asst.","Junior Executive Assistant","Jr. Exect. Asst.",18,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"19",19,"Sr. Driver","Senior Driver","Sr. Driver",19,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"20",20,"Sr. DMO","Senior Duplicate Machine Operator","Sr. DMO",20,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"21",21,"Driver","Driver","Driver",21,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"22",22,"DMO","Duplicate Machine Operator","DMO",22,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"23",23,"Jr. Asst.","Junior Assistant","Jr. Asst.",23,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"24",24,"Sr. Front Office Asst.","Senior Front Office Assistant","Sr. Front Office Asst.",24,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"25",25,"Sr. Record Keeper","Senior Record Keeper","Sr. Record Keeper",25,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"26",26,"Front Office Asst.","Front Office Assistant","Front Office Asst.",26,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"27",27,"Record Keeper","Record Keeper","Record Keeper",27,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"28",28,"Messenger cum Driver","Messenger cum Driver","Messenger cum Driver",28,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"29",29,"Messenger cum Peon","Messenger cum Peon","Messenger cum Peon",29,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
"30",30,"Messenger","Messenger","Messenger",30,False,True,"2025-12-05 10:21:14+05:30","2025-12-05 10:21:14+05:30"
