department,long_title,short_title,type,region,gstin,mid,url,sort_id,parent_id,office_id,is_active
Head Office,Head Office,HO,HO,HO,07AAAAF0408Q1ZQ,NULL,NULL,1,1,1,TRUE
DG Cell,DG Cell,NULL,DO,HO,07AAAAF0408Q1ZQ,NULL,NULL,2,1,1,TRUE
ADG Cell,Addl. DG Cell,NULL,DO,HO,07AAAAF0408Q1ZQ,NULL,NULL,3,1,1,TRUE
Personnel Dept.,NULL,NULL,DO,HO,07AAAAF0408Q1ZQ,NULL,NULL,4,1,1,TRUE
Finance Dept.,Finance Department,NULL,DO,HO,07AAAAF0408Q1ZQ,NULL,NULL,5,1,1,TRUE
Admin & Estate Dept.,NULL,NULL,DO,HO,07AAAAF0408Q1ZQ,NULL,NULL,6,1,1,TRUE
IT & Quality Dept.,NULL,NULL,DO,HO,07AAAAF0408Q1ZQ,NULL,NULL,7,1,1,TRUE
MRD Dept.,Market Research and Development Dept.,NULL,DO,HO,07AAAAF0408Q1ZQ,NULL,NULL,8,1,1,TRUE
Study Cell,NULL,NULL,DO,HO,07AAAAF0408Q1ZQ,NULL,NULL,9,1,1,TRUE
EXIM Policy Dept,EXIM Policy Department,Policy Dept,DO,HO,07AAAAF0408Q1ZQ,NULL,NULL,10,1,1,TRUE
MC & PR Dept.,"Media, Communications & Personal Relations Department",NULL,DO,HO,07AAAAF0408Q1ZQ,NULL,NULL,11,1,1,TRUE
Trade Portal Div.,Trade Portal Division,NULL,DO,HO,07AAAAF0408Q1ZQ,NULL,NULL,12,1,1,TRUE
Northern Region,Northern Region - New Delhi,NR,RO,NR,07AAAAF0408Q1ZQ,NULL,NULL,13,1,2,TRUE
Eastern Region,Eastern Region - Kolkata,ER,RO,ER,19AAAAF0408Q1ZL,NULL,NULL,14,1,3,TRUE
Western Region,Western Region,WR,RO,WR,27AAAAF0408Q1ZO,NULL,NULL,15,1,4,TRUE
Southern Region,Southern Region - Chennai,SR,RO,SR,33AAAAF0408Q1ZV,NULL,NULL,16,1,5,TRUE
Punjab Chapter,Punjab Chapter,NULL,CO,NR,07AAAAF0408Q1ZQ,NULL,NULL,17,13,6,TRUE
Rajasthan Chapter,Rajasthan Chapter,NULL,CO,NR,07AAAAF0408Q1ZQ,NULL,NULL,18,13,7,TRUE
UP Chapter,Uttar Pradesh Chapter,NULL,CO,NR,07AAAAF0408Q1ZQ,NULL,NULL,19,13,8,TRUE
Odisha Chapter,Odisha Chapter,NULL,CO,ER,19AAAAF0408Q1ZL,NULL,NULL,20,14,9,TRUE
North East Chapter,North East Chapter,NULL,CO,ER,19AAAAF0408Q1ZL,NULL,NULL,21,14,10,TRUE
Gujarat Chapter,Gujarat Chapter,NULL,CO,WR,27AAAAF0408Q1ZO,NULL,NULL,22,15,11,TRUE
MP Chapter,Madhya Pradesh Chapter,NULL,CO,WR,27AAAAF0408Q1ZO,NULL,NULL,23,15,12,TRUE
Telangana Chapter,Telangana Chapter,NULL,CO,SR,33AAAAF0408Q1ZV,NULL,NULL,24,16,14,TRUE
AP Chapter,Andhra Pradesh Chapter,NULL,CO,SR,33AAAAF0408Q1ZV,NULL,NULL,25,16,17,TRUE
Karnataka Chapter,Karnataka Chapter,NULL,CO,SR,33AAAAF0408Q1ZV,NULL,NULL,26,16,13,TRUE
Kerala Chapter,Kerala Chapter,NULL,CO,SR,33AAAAF0408Q1ZV,NULL,NULL,27,16,15,TRUE
Coimbatore Chapter,Coimbatore Chapter,NULL,CO,SR,33AAAAF0408Q1ZV,NULL,NULL,28,16,16,TRUE
