"id","employee_id","employee_code","basic_pay","from_date","to_date","file_no","order_no","order_date","remarks","created_at","updated_at"
"1","1","0233","1468096.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"2","2","0350","180000.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"3","3","0099","143883.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"4","4","0190","138709.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"5","5","9121","1.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"6","6","0260","92658.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"7","7","0212","97070.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"8","8","0206","106774.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"9","9","0205","96739.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"10","10","0222","86708.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"11","11","0157","84682.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"12","12","0229","55393.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"13","13","0287","64203.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"14","14","0112","65450.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"15","15","0084","76251.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"16","16","0249","44952.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"17","17","0288","42212.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"18","18","0250","41640.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"19","19","0186","61383.00","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
