"id","employee_id","designation_id","employee_code","from_date","to_date","file_no","office_order_no","office_order_date","remarks","created_at","updated_at"
"1","1","1","0233","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"2","2","2","0350","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"3","3","3","0099","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"4","4","4","0190","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"5","5","5","9121","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"6","6","5","0260","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"7","7","5","0212","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"8","8","7","0206","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"9","9","7","0205","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"10","10","7","0222","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"11","11","8","0157","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"12","12","8","0229","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"13","13","8","0287","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"14","14","9","0112","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"15","15","9","0084","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"16","16","9","0249","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"17","17","9","0288","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"18","18","9","0250","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"19","19","9","0186","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"20","20","12","0322","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"21","21","10","0273","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"22","22","23","0302","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"23","23","12","0301","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:32+05:30","2025-12-11 18:55:32+05:30"
"24","24","10","0290","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:33+05:30","2025-12-11 18:55:33+05:30"
"25","25","18","0271","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:33+05:30","2025-12-11 18:55:33+05:30"
"26","26","12","0349","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:33+05:30","2025-12-11 18:55:33+05:30"
"27","27","10","0291","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:33+05:30","2025-12-11 18:55:33+05:30"
"28","28","9","0256","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:33+05:30","2025-12-11 18:55:33+05:30"
"29","29","10","0243","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:33+05:30","2025-12-11 18:55:33+05:30"
"30","30","12","0346","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:33+05:30","2025-12-11 18:55:33+05:30"
"31","31","23","0279","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:33+05:30","2025-12-11 18:55:33+05:30"
"32","32","10","0332","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:33+05:30","2025-12-11 18:55:33+05:30"
"33","33","14","0239","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:33+05:30","2025-12-11 18:55:33+05:30"
"34","34","23","0278","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:33+05:30","2025-12-11 18:55:33+05:30"
"35","35","25","0282","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"36","36","21","0238","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"37","37","10","0311","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"38","38","22","0223","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"39","39","12","0285","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"40","40","10","0130","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"41","41","23","0352","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"42","42","9","0257","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"43","43","12","0348","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"44","44","12","0318","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"45","45","10","0295","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"46","46","23","9119","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"47","47","8","0225","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"48","48","25","0272","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"49","49","10","0218","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"50","50","25","0252","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"51","51","28","0253","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"52","52","26","9118","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"53","53","10","0337","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"54","54","10","0270","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"55","55","14","0341","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"56","56","25","0242","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"57","57","22","0221","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"58","58","23","0323","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"59","59","9","0251","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"60","60","20","0164","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"61","61","9","0115","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"62","62","18","0345","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"63","63","23","0333","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:34+05:30","2025-12-11 18:55:34+05:30"
"64","64","23","0310","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"65","65","11","0104","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"66","66","11","0292","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"67","67","14","0328","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"68","68","14","0277","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"69","69","10","0276","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"70","70","26","0340","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"71","71","18","0284","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"72","72","26","0334","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"73","73","10","0268","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"74","74","29","0316","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"75","75","28","0299","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"76","76","29","0336","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"77","77","18","0264","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"78","78","10","0294","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"79","79","10","0160","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"80","80","28","0343","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"81","81","10","0228","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"82","82","12","0319","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"83","83","10","0266","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"84","84","11","0162","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:35+05:30","2025-12-11 18:55:35+05:30"
"85","85","11","0219","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"86","86","28","0335","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"87","87","9","0342","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"88","88","23","0226","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
"89","89","26","0313","2025-12-11",NULL,NULL,NULL,NULL,"Initial Import","2025-12-11 18:55:36+05:30","2025-12-11 18:55:36+05:30"
