"iec","company_name","file_number","file_date","application_type","office_id","old_name","address_line_1","address_line_2","city","district","state","pincode","gstin","membership_category","star_rating","annual_turnover","export_turnover","rcmc_valid_upto"
"0200002635","BLUE MOON FRAGRANCES","RCMCRENEWFIEO00040349AM25","2024-06-14","Renewal of e-RCMC","3",NULL,"20, MARQUIS STREET, GROUND FLOOR",NULL,"KOLKATA","KOLKATA","WEST BENGAL","700016","19AAGPI4901E1Z0","Premium Multi Product Group Category","-","653885175.38","32303471.13","2027-03-31"
"0200004140","DREAM BAKE PRIVATE LIMITED","RCMCRENEWFIEO00102521AM25","2025-03-28","Renewal of e-RCMC","3",NULL,"296, KALUKHAN ROAD,","BORAL","KOLKATA","24 PARAGANAS SOUTH","WEST BENGAL","700154","19AABCD1189R1Z0","Premium Multi Product Group Category","-","4940000000","0","2026-03-31"
"0200005014","T P ROY CHOWDHURY & CO PRIVATE LIMITED","RCMCRENEWFIEO00087384AM24","2024-03-21","Renewal of e-RCMC","3",NULL,"53-B,MIRZA GHALIB STREET,",NULL,"KOLKATA,W.B.","KOLKATA","WEST BENGAL","700016","19AAACT9370R1ZE","Premium Multi Product Group Category","-","900000000","0","2027-03-31"
"0200005588","EAST COAST MAGNETS PRIVATE LIMITED","RCMCRENEWFIEO00012605AM24","2023-04-24","Renewal of e-RCMC","15",NULL,"44/1/6, PHASE - 1, I.D.A.","JEEDIMETLA","HYDERABAD","HYDERABAD","TELANGANA","500055","36AAACE5687J1Z9","One Star Export House Category","One Star Export House","108638718","0","2026-03-31"
"0200005804","MAASIS INTER FASHION PRIVATE LIMITED","RCMCRENEWFIEO00025542AM26","2025-05-06","Renewal of e-RCMC","3",NULL,"B2-1/B/NEW, LALABAGAN C.M.D.A ROAD","KALINAGAR BIDHANGARH","PS RABINDRANAGAR","KOLKATA","WEST BENGAL","700066","19AACCM6182C1ZI","Premium Multi Product Group Category","-","110000000","0","2026-03-31"
"0200005961","HINDUSTHAN ENGINEERING & INDUSTRIES LIMITED","RCMCRENEWFIEO00037116AM25","2024-06-03","Renewal of e-RCMC","3",NULL,"MODY BUILDING","27, R.N.MUKHERJEE ROAD","KOLKATA","KOLKATA","WEST BENGAL","700001","19AAACH8505Q1Z1","Premium Multi Product Group Category","-","100000000","0","2026-03-31"
"0200006487","NEW TEA CO LTD","RCMCRENEWFIEO00104279AM25","2025-03-30","Renewal of e-RCMC","3",NULL,"HINDUSTHAN BUILDINGS, 2ND FLOOR,","4, CHITTARANJAN AVENUE,","KOLKATA","KOLKATA","WEST BENGAL","700072","19AABCN0928N1Z5","One Star Export House Category","One Star Export House","1057229174","139510709","2026-03-31"
"0200008064","RIVERGROW FINANCE LIMITED","RCMCAPPLYFIEO00037039AM23","2022-12-29","Issuance of e-RCMC","15",NULL,"10-11-58/30/1/A/NR, GP COMPLEX","FATHENAGAR","HYDERABAD","HYDERABAD","TELANGANA","500018","36AAACL5733C1ZU","Multi Product Group Category","-","50000000","0","2023-03-31"
"0200008561","PALRIWAL INDUSTRIES PRIVATE LIMITED","RCMCRENEWFIEO00088909AM25","2025-03-12","Renewal of e-RCMC","3",NULL,"HORHAP ROAD","P.O.MAHILONG","RANCHI","RANCHI","JHARKHAND","835103","20AABCP8870H1ZG","Premium Multi Product Group Category","-","4221600000","0","2027-03-31"
"0200008676","FESTINO MARKETING COMPANY PVT LTD","RCMCRENEWFIEO00053447AM24","2023-09-25","Renewal of e-RCMC","3",NULL,"5/1, CLIVE ROW ,1ST FLOOR ROOM NO 24","BBD BAG","KOLKATA","KOLKATA","WEST BENGAL","700001","19AAACF4725E1ZU","Multi Product Group Category","-","20000000","0","2024-03-31"
