sort_id,office,type,address,city,state,pin,email,phone,fax,country,latitude,longitude,parent_id,is_active
1,Head Office,HO,"Niryat Bhawan, Rao Tula Ram Marg, Opp. Army Hospital Research & Referral",New Delhi,Delhi,110057,fieo@fieo.org,74.23930997,-26148114,India,NULL,NULL,NULL,TRUE
2,Northern Region,RO,"Niryat Bhawan, Rao Tula Ram Marg, Opp. Army Hospital Research & Referral",New Delhi,Delhi,110057,fieonr@fieo.org,74.23930997,-26148114,India,NULL,NULL,1,TRUE
3,Eastern Region,RO,"11/1 Sarat Bose Road, Ideal plaza, Unit S/307 & S/309, 3rd Floor, South Block",Kolkata,West Bengal,700020,fieoer@fieo.org,-37638464,NULL,India,NULL,NULL,1,TRUE
4,Western Region,RO,"TIMES SQUARE, Unit No.3A, B-Wing, 4th Floor, Andheri Kurla Road, Andheri (East)",Mumbai,Maharashtra,400059,fieowr@fieo.org,-40572153,-28392265,India,NULL,NULL,1,TRUE
5,Southern Region,RO,"Spencer Plaza, Unit No.706, 7th Floor, 769, Anna Salai",Chennai,Tamil Nadu,600002,fieosr@fieo.org,45.99999961,-28496619,India,NULL,NULL,1,TRUE
6,Ludhiana Chapter,CO,"SCO 17, 2nd Floor, Sector 39, Chandigarh Road",Ludhiana,Punjab,141010,punjab@fieo.org,-5003670,-5003670,India,NULL,NULL,2,TRUE
7,Amritsar Chapter,CO,,Amritsar,Punjab,,,,,India,NULL,NULL,2,TRUE
8,Rajasthan Chapter,CO,"303, 3rd Floor, Suryodaya Apartments, F-72, Subhash Marg, C-Scheme",Jaipur,Rajasthan,302001,rajasthan@fieo.org,-4055641,-4055641,India,NULL,NULL,2,TRUE
9,Uttar Pradesh Chapter,CO,14/76 Civil Lines,Kanpur,Uttar Pradesh,208001,fieokanpur@fieo.org,-2535245,NULL,India,NULL,NULL,2,TRUE
10,Odisha Chapter,CO,"Raptani Bhawan, BDA Commercial Complex, Near Indradhanu Market, IRC Village, Nayapalli",Bhubaneswar,Odisha,751015,fieobbsr@fieo.org,-2557257,-2554093,India,NULL,NULL,3,TRUE
11,North East Chapter,CO,"First Floor, H. No. 23, N N Tower, Dr S K Bhuyan Road, Dighali Pukhuri (East)",Guwahati,Assam,781001,fieonortheast@fieo.org,-2740158,NULL,India,NULL,NULL,3,TRUE
12,Gujarat Chapter,CO,"C-701 / C-702, The First, Behind Keshavbaug Party Plot and ITC Narmada Hotel, Shivranjani Cross Rd, Vastrapur",Ahmedabad,Gujarat,380015,fieoahd@fieo.org,-29700356,-40050394,India,NULL,NULL,4,TRUE
13,Madhya Pradesh Chapter,CO,"203, Gold Arcade, 3/1, New Palasia, Near Janjirwala Square",Indore,Madhya Pradesh,452001,indore@fieo.org,-13385.04464,-4282977,India,NULL,NULL,4,TRUE
14,Karnataka Chapter,CO,"Jain Heights (Solus), Unit C-06, 6th Floor, No.2, 1st Cross, J C Road (Opposite Poornima Theatre)",Bengaluru,Karnataka,560002,fieoblr@fieo.org,10.05745117,NULL,India,NULL,NULL,5,TRUE
15,Telengana Chapter,CO,"Shakar Bhavan, 3rd Floor, #5-10-174, Fateh Maidan Road, Basheerbagh",Hyderabad,Telangana,500004,fieohyd@fieo.org,-23210329,-23210330,India,NULL,NULL,5,TRUE
16,Kerala Chapter,CO,"Marine Building, First Floor, Malabar Road, North End, Willingdon Island",Kochi,Kerala,682009,kerala@fieo.org,-2666509,-2666509,India,NULL,NULL,5,TRUE
17,Coimbatore Chapter,CO,"KPM Centre,  2nd Floor, No. 2A, GKNM Hospital Signal, P N Palayam",Coimbatore,Tamil Nadu,641037,fieokovai@fieo.org,-331.5087666,-2220745,India,NULL,NULL,5,TRUE
18,Andhra Pradesh Chapter,CO,"PVS Landmark, Ground Floor, APTPC, Plot No.11&12 , Industrial Park, Mangalagiri",Guntur District,Andhra Pradesh,522503,fieoap@fieo.org,-9010717828,NULL,India,NULL,NULL,5,TRUE
